Code de la région;Libellé de la région;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp
44;Grand Est;3863947;1016665;26,31;2847282;73,69;158617;4,11;5,57;52605;1,36;1,85;2636060;68,22;92,58;M;MACRON;Emmanuel;1372526;35,52;52,07;F;LE PEN;Marine;1263534;32,7;47,93
75;Nouvelle-Aquitaine;4462864;1079365;24,19;3383499;75,81;249967;5,6;7,39;102317;2,29;3,02;3031215;67,92;89,59;M;MACRON;Emmanuel;1768081;39,62;58,33;F;LE PEN;Marine;1263134;28,3;41,67
84;Auvergne-Rhône-Alpes;5559227;1422924;25,6;4136303;74,4;277051;4,98;6,7;88468;1,59;2,14;3770784;67,83;91,16;M;MACRON;Emmanuel;2253507;40,54;59,76;F;LE PEN;Marine;1517277;27,29;40,24
27;Bourgogne-Franche-Comté;1992678;501648;25,17;1491030;74,83;101415;5,09;6,8;38059;1,91;2,55;1351556;67,83;90,65;M;MACRON;Emmanuel;714587;35,86;52,87;F;LE PEN;Marine;636969;31,97;47,13
53;Bretagne;2562764;566267;22,1;1996497;77,9;142749;5,57;7,15;47891;1,87;2,4;1805857;70,47;90,45;M;MACRON;Emmanuel;1202339;46,92;66,58;F;LE PEN;Marine;603518;23,55;33,42
24;Centre-Val de Loire;1837659;464338;25,27;1373321;74,73;89554;4,87;6,52;31950;1,74;2,33;1251817;68,12;91,15;M;MACRON;Emmanuel;706528;38,45;56,44;F;LE PEN;Marine;545289;29,67;43,56
11;Île-de-France;7353133;2160142;29,38;5192991;70,62;319854;4,35;6,16;84456;1,15;1,63;4788681;65,12;92,21;M;MACRON;Emmanuel;3496396;47,55;73,01;F;LE PEN;Marine;1292285;17,57;26,99
76;Occitanie;4324602;1072827;24,81;3251775;75,19;238269;5,51;7,33;95998;2,22;2,95;2917508;67,46;89,72;M;MACRON;Emmanuel;1574375;36,41;53,96;F;LE PEN;Marine;1343133;31,06;46,04
32;Hauts-de-France;4256336;1136454;26,7;3119882;73,3;160852;3,78;5,16;67080;1,58;2,15;2891950;67,94;92,69;M;MACRON;Emmanuel;1384151;32,52;47,86;F;LE PEN;Marine;1507799;35,42;52,14
28;Normandie;2414348;583686;24,18;1830662;75,82;115856;4,8;6,33;37683;1,56;2,06;1677123;69,46;91,61;M;MACRON;Emmanuel;936550;38,79;55,84;F;LE PEN;Marine;740573;30,67;44,16
52;Pays de la Loire;2833690;668962;23,61;2164728;76,39;143998;5,08;6,65;46441;1,64;2,15;1974289;69,67;91,2;M;MACRON;Emmanuel;1281656;45,23;64,92;F;LE PEN;Marine;692633;24,44;35,08
93;Provence-Alpes-Côte d'Azur;3664766;1008065;27,51;2656701;72,49;155054;4,23;5,84;49657;1,35;1,87;2451990;66,91;92,29;M;MACRON;Emmanuel;1214177;33,13;49,52;F;LE PEN;Marine;1237813;33,78;50,48
94;Corse;243009;95108;39,14;147901;60,86;9357;3,85;6,33;4701;1,93;3,18;133843;55,08;90,49;M;MACRON;Emmanuel;56111;23,09;41,92;F;LE PEN;Marine;77732;31,99;58,08
01;Guadeloupe;315941;166884;52,82;149057;47,18;8511;2,69;5,71;8211;2,6;5,51;132335;41,89;88,78;M;MACRON;Emmanuel;40229;12,73;30,4;F;LE PEN;Marine;92106;29,15;69,6
02;Martinique;304670;166201;54,55;138469;45,45;11198;3,68;8,09;7353;2,41;5,31;119918;39,36;86,6;M;MACRON;Emmanuel;46918;15,4;39,13;F;LE PEN;Marine;73000;23,96;60,87
03;Guyane;103058;62970;61,1;40088;38,9;3064;2,97;7,64;1217;1,18;3,04;35807;34,74;89,32;M;MACRON;Emmanuel;14073;13,66;39,3;F;LE PEN;Marine;21734;21,09;60,7
04;La Réunion;676058;274522;40,61;401536;59,39;20485;3,03;5,1;16760;2,48;4,17;364291;53,88;90,72;M;MACRON;Emmanuel;147270;21,78;40,43;F;LE PEN;Marine;217021;32,1;59,57
06;Mayotte;92421;50380;54,51;42041;45,49;1595;1,73;3,79;2045;2,21;4,86;38401;41,55;91,34;M;MACRON;Emmanuel;15707;17;40,9;F;LE PEN;Marine;22694;24,56;59,1
