Code de la région;Libellé de la région;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp;;;;;;
44;Grand Est;3864055;1016673;26,31;2847382;73,69;158769;4,11;5,58;54418;1,41;1,91;2634195;68,17;92,51;M;MACRON;Emmanuel;1371637;35,5;52,07;F;LE PEN;Marine;1262558;32,67;47,93
75;Nouvelle-Aquitaine;4462866;1079365;24,19;3383501;75,81;250345;5,61;7,4;103875;2,33;3,07;3029281;67,88;89,53;M;MACRON;Emmanuel;1766960;39,59;58,33;F;LE PEN;Marine;1262321;28,28;41,67
84;Auvergne-Rhône-Alpes;5558964;1422655;25,59;4136309;74,41;277883;5;6,72;91317;1,64;2,21;3767109;67,77;91,07;M;MACRON;Emmanuel;2251392;40,5;59,76;F;LE PEN;Marine;1515717;27,27;40,24
27;Bourgogne-Franche-Comté;1992557;501536;25,17;1491021;74,83;102236;5,13;6,86;38647;1,94;2,59;1350138;67,76;90,55;M;MACRON;Emmanuel;713977;35,83;52,88;F;LE PEN;Marine;636161;31,93;47,12
53;Bretagne;2562764;566269;22,1;1996495;77,9;142782;5,57;7,15;48102;1,88;2,41;1805611;70,46;90,44;M;MACRON;Emmanuel;1202202;46,91;66,58;F;LE PEN;Marine;603409;23,55;33,42
24;Centre-Val de Loire;1837674;464258;25,26;1373416;74,74;89671;4,88;6,53;33483;1,82;2,44;1250262;68,04;91,03;M;MACRON;Emmanuel;705704;38,4;56,44;F;LE PEN;Marine;544558;29,63;43,56
11;Île-de-France;7353133;2160147;29,38;5192986;70,62;320171;4,35;6,17;86980;1,18;1,67;4785835;65,09;92,16;M;MACRON;Emmanuel;3494501;47,52;73,02;F;LE PEN;Marine;1291334;17,56;26,98
76;Occitanie;4324603;1072829;24,81;3251774;75,19;238975;5,53;7,35;99581;2,3;3,06;2913218;67,36;89,59;M;MACRON;Emmanuel;1572080;36,35;53,96;F;LE PEN;Marine;1341138;31,01;46,04
32;Hauts-de-France;4256336;1136454;26,7;3119882;73,3;160771;3,78;5,15;68989;1,62;2,21;2890122;67,9;92,64;M;MACRON;Emmanuel;1383212;32,5;47,86;F;LE PEN;Marine;1506910;35,4;52,14
28;Normandie;2414345;583687;24,18;1830658;75,82;116648;4,83;6,37;36854;1,53;2,01;1677156;69,47;91,61;M;MACRON;Emmanuel;936566;38,79;55,84;F;LE PEN;Marine;740590;30,67;44,16
52;Pays de la Loire;2833848;669120;23,61;2164728;76,39;144187;5,09;6,66;46252;1,63;2,14;1974289;69,67;91,2;M;MACRON;Emmanuel;1281658;45,23;64,92;F;LE PEN;Marine;692631;24,44;35,08
93;Provence-Alpes-Côte d'Azur;3664768;1008068;27,51;2656700;72,49;155435;4,24;5,85;49262;1,34;1,85;2452003;66,91;92,3;M;MACRON;Emmanuel;1214186;33,13;49,52;F;LE PEN;Marine;1237817;33,78;50,48
94;Corse;243000;95098;39,13;147902;60,87;9534;3,92;6,45;4552;1,87;3,08;133816;55,07;90,48;M;MACRON;Emmanuel;56095;23,08;41,92;F;LE PEN;Marine;77721;31,98;58,08
01;Guadeloupe;315941;166884;52,82;149057;47,18;8511;2,69;5,71;8211;2,6;5,51;132335;41,89;88,78;M;MACRON;Emmanuel;40229;12,73;30,4;F;LE PEN;Marine;92106;29,15;69,6
02;Martinique;304670;166201;54,55;138469;45,45;11198;3,68;8,09;7353;2,41;5,31;119918;39,36;86,6;M;MACRON;Emmanuel;46918;15,4;39,13;F;LE PEN;Marine;73000;23,96;60,87
03;Guyane;103058;62970;61,1;40088;38,9;3049;2,96;7,61;1768;1,72;4,41;35271;34,22;87,98;M;MACRON;Emmanuel;13834;13,42;39,22;F;LE PEN;Marine;21437;20,8;60,78
04;La Réunion;676080;274588;40,61;401492;59,39;20584;3,04;5,13;16644;2,46;4,15;364264;53,88;90,73;M;MACRON;Emmanuel;147297;21,79;40,44;F;LE PEN;Marine;216967;32,09;59,56
06;Mayotte;92421;50377;54,51;42044;45,49;1645;1,78;3,91;1997;2,16;4,75;38402;41,55;91,34;M;MACRON;Emmanuel;15708;17;40,9;F;LE PEN;Marine;22694;24,56;59,1
